game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2025_05_DAL_NYJ,2025,5,2025-10-05,NYJ,DAL,3.0,23.0,22,37,1.5,48.5,True,NYJ,20,True,1.5,0
2025_05_DEN_PHI,2025,5,2025-10-05,PHI,DEN,10.0,3.0,17,21,3.5,44.5,False,DEN,7,False,0.0,1
2025_05_DET_CIN,2025,5,2025-10-05,CIN,DET,3.0,14.0,24,37,-10.5,49.5,True,CIN,11,False,0.0,0
2025_05_HOU_BAL,2025,5,2025-10-05,BAL,HOU,3.0,24.0,10,44,-2.5,41.5,True,BAL,21,False,0.0,0
2025_05_KC_JAX,2025,5,2025-10-06,JAX,KC,7.0,14.0,31,28,-3.5,45.5,True,JAX,7,False,0.0,1
2025_05_LV_IND,2025,5,2025-10-05,IND,LV,20.0,3.0,40,6,7.0,46.5,False,LV,17,False,0.0,0
2025_05_MIA_CAR,2025,5,2025-10-05,CAR,MIA,10.0,17.0,27,24,-1.5,44.5,True,CAR,7,False,0.0,1
2025_05_MIN_CLE,2025,5,2025-10-05,CLE,MIN,10.0,7.0,17,21,-3.5,35.5,False,MIN,3,True,3.5,1
2025_05_NE_BUF,2025,5,2025-10-05,BUF,NE,3.0,6.0,20,23,7.5,49.5,True,BUF,3,True,7.5,0
2025_05_NYG_NO,2025,5,2025-10-05,NO,NYG,16.0,14.0,26,14,1.5,41.5,False,NYG,2,False,0.0,0
2025_05_SF_LA,2025,5,2025-10-02,LA,SF,7.0,17.0,23,26,8.5,43.5,True,LA,10,True,8.5,0
2025_05_TB_SEA,2025,5,2025-10-05,SEA,TB,7.0,13.0,35,38,3.5,44.5,True,SEA,6,True,3.5,0
2025_05_TEN_ARI,2025,5,2025-10-05,ARI,TEN,21.0,6.0,21,22,7.5,41.5,False,TEN,15,False,0.0,1
