game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2010_05_KC_IND,2010,5,2010-10-10,IND,KC,6.0,3.0,19,9,7.5,46.0,False,KC,3,False,0.0,0
2010_05_MIN_NYJ,2010,5,2010-10-11,NYJ,MIN,9.0,0.0,29,20,4.0,38.0,False,MIN,9,False,0.0,0
2010_05_NO_ARI,2010,5,2010-10-10,ARI,NO,10.0,13.0,30,20,-6.5,45.5,True,ARI,3,False,0.0,1
2010_05_NYG_HOU,2010,5,2010-10-10,HOU,NYG,3.0,24.0,10,34,3.0,48.5,True,HOU,21,True,3.0,0
2010_05_PHI_SF,2010,5,2010-10-10,SF,PHI,10.0,17.0,24,27,3.0,39.5,True,SF,7,True,3.0,0
2010_05_SD_OAK,2010,5,2010-10-10,LV,LAC,15.0,17.0,35,27,-7.0,44.0,True,LV,2,False,0.0,1
2010_05_STL_DET,2010,5,2010-10-10,DET,LA,24.0,6.0,44,6,3.0,43.5,False,LA,18,False,0.0,0
2010_05_TB_CIN,2010,5,2010-10-10,CIN,TB,10.0,7.0,21,24,6.5,38.0,False,TB,3,False,0.0,1
2010_05_TEN_DAL,2010,5,2010-10-10,DAL,TEN,10.0,17.0,27,34,6.5,43.5,True,DAL,7,True,6.5,0
2010_06_ATL_PHI,2010,6,2010-10-17,PHI,ATL,21.0,7.0,31,17,1.0,43.0,False,ATL,14,False,0.0,0
2010_06_BAL_NE,2010,6,2010-10-17,NE,BAL,7.0,10.0,23,20,3.0,44.5,True,NE,3,True,3.0,1
2010_06_CLE_PIT,2010,6,2010-10-17,PIT,CLE,7.0,3.0,28,10,14.0,37.5,False,CLE,4,False,0.0,0
2010_06_DAL_MIN,2010,6,2010-10-17,MIN,DAL,7.0,14.0,24,21,1.0,43.5,True,MIN,7,True,1.0,1
2010_06_DET_NYG,2010,6,2010-10-17,NYG,DET,14.0,10.0,28,20,10.0,45.5,False,DET,4,False,0.0,0
2010_06_IND_WAS,2010,6,2010-10-17,WAS,IND,7.0,17.0,24,27,-3.0,44.5,True,WAS,10,False,0.0,0
2010_06_KC_HOU,2010,6,2010-10-17,HOU,KC,7.0,14.0,35,31,4.5,45.5,True,HOU,7,True,4.5,1
2010_06_NO_TB,2010,6,2010-10-17,TB,NO,0.0,17.0,6,31,-5.5,43.5,True,TB,17,False,0.0,0
2010_06_NYJ_DEN,2010,6,2010-10-17,DEN,NYJ,10.0,7.0,20,24,-3.5,43.0,False,NYJ,3,True,3.5,1
2010_06_OAK_SF,2010,6,2010-10-17,SF,LV,3.0,6.0,17,9,9.0,40.5,True,SF,3,True,9.0,1
2010_06_SD_STL,2010,6,2010-10-17,LA,LAC,17.0,3.0,20,17,-9.5,44.5,False,LAC,14,True,9.5,0
2010_06_SEA_CHI,2010,6,2010-10-17,CHI,SEA,13.0,14.0,20,23,6.0,37.5,True,CHI,1,True,6.0,0
2010_06_TEN_JAX,2010,6,2010-10-18,JAX,TEN,0.0,17.0,3,30,-3.0,43.5,True,JAX,17,False,0.0,0
2010_07_ARI_SEA,2010,7,2010-10-24,SEA,ARI,10.0,0.0,22,10,6.5,40.5,False,ARI,10,False,0.0,0
2010_07_BUF_BAL,2010,7,2010-10-24,BAL,BUF,20.0,24.0,37,34,12.0,39.5,True,BAL,4,True,12.0,1
2010_07_CIN_ATL,2010,7,2010-10-24,ATL,CIN,24.0,3.0,39,32,3.5,43.0,False,CIN,21,False,0.0,0
2010_07_CLE_NO,2010,7,2010-10-24,NO,CLE,3.0,20.0,17,30,12.0,44.0,True,NO,17,True,12.0,0
2010_07_JAX_KC,2010,7,2010-10-24,KC,JAX,14.0,13.0,42,20,9.0,38.5,False,JAX,1,False,0.0,0
2010_07_MIN_GB,2010,7,2010-10-24,GB,MIN,14.0,17.0,28,24,2.5,43.5,True,GB,3,True,2.5,1
2010_07_NE_SD,2010,7,2010-10-24,LAC,NE,3.0,13.0,20,23,2.5,49.0,True,LAC,10,True,2.5,0
2010_07_NYG_DAL,2010,7,2010-10-25,DAL,NYG,20.0,24.0,35,41,3.5,45.0,True,DAL,4,True,3.5,0
2010_07_OAK_DEN,2010,7,2010-10-24,DEN,LV,7.0,38.0,14,59,7.0,43.0,True,DEN,31,True,7.0,0
2010_07_PHI_TEN,2010,7,2010-10-24,TEN,PHI,7.0,13.0,37,19,3.0,41.0,True,TEN,6,True,3.0,1
2010_07_PIT_MIA,2010,7,2010-10-24,MIA,PIT,16.0,17.0,22,23,-3.0,40.5,True,MIA,1,False,0.0,0
2010_07_STL_TB,2010,7,2010-10-24,TB,LA,6.0,17.0,18,17,3.0,38.5,True,TB,11,True,3.0,1
2010_07_WAS_CHI,2010,7,2010-10-24,CHI,WAS,14.0,10.0,14,17,3.0,40.5,False,WAS,4,False,0.0,1
2010_08_BUF_KC,2010,8,2010-10-31,KC,BUF,7.0,0.0,13,10,7.0,45.0,False,BUF,7,False,0.0,0
2010_08_CAR_STL,2010,8,2010-10-31,LA,CAR,10.0,3.0,20,10,2.5,38.0,False,CAR,7,False,0.0,0
2010_08_DEN_SF,2010,8,2010-10-31,SF,DEN,3.0,0.0,24,16,2.0,41.0,False,DEN,3,False,0.0,0
2010_08_GB_NYJ,2010,8,2010-10-31,NYJ,GB,0.0,3.0,0,9,6.5,41.5,True,NYJ,3,True,6.5,0
2010_08_HOU_IND,2010,8,2010-11-01,IND,HOU,17.0,3.0,30,17,5.5,50.5,False,HOU,14,False,0.0,0
2010_08_JAX_DAL,2010,8,2010-10-31,DAL,JAX,3.0,14.0,17,35,6.5,43.5,True,DAL,11,True,6.5,0
2010_08_MIA_CIN,2010,8,2010-10-31,CIN,MIA,14.0,12.0,14,22,-1.0,43.0,False,MIA,2,True,1.0,1
2010_08_SEA_OAK,2010,8,2010-10-31,LV,SEA,10.0,0.0,33,3,1.5,39.5,False,SEA,10,False,0.0,0
2010_08_TB_ARI,2010,8,2010-10-31,ARI,TB,14.0,24.0,35,38,3.0,38.0,True,ARI,10,True,3.0,0
2010_08_TEN_SD,2010,8,2010-10-31,LAC,TEN,14.0,19.0,33,25,6.0,45.0,True,LAC,5,True,6.0,1
2010_08_WAS_DET,2010,8,2010-10-31,DET,WAS,7.0,13.0,37,25,2.5,44.5,True,DET,6,True,2.5,1
2010_09_ARI_MIN,2010,9,2010-11-07,MIN,ARI,10.0,14.0,27,24,7.0,42.5,True,MIN,4,True,7.0,1
2010_09_DAL_GB,2010,9,2010-11-07,GB,DAL,28.0,7.0,45,7,7.0,46.0,False,DAL,21,False,0.0,0
2010_09_IND_PHI,2010,9,2010-11-07,PHI,IND,16.0,17.0,26,24,3.5,46.5,True,PHI,1,True,3.5,1
2010_09_KC_OAK,2010,9,2010-11-07,LV,KC,0.0,10.0,23,20,-1.0,41.0,True,LV,10,False,0.0,1
2010_09_MIA_BAL,2010,9,2010-11-07,BAL,MIA,13.0,10.0,26,10,5.0,40.5,False,MIA,3,False,0.0,0
2010_09_NE_CLE,2010,9,2010-11-07,CLE,NE,17.0,7.0,34,14,-4.0,44.0,False,NE,10,True,4.0,0
2010_09_NO_CAR,2010,9,2010-11-07,CAR,NO,3.0,17.0,3,34,-5.5,40.0,True,CAR,14,False,0.0,0
2010_09_NYG_SEA,2010,9,2010-11-07,SEA,NYG,0.0,35.0,7,41,-7.0,40.5,True,SEA,35,False,0.0,0
2010_09_NYJ_DET,2010,9,2010-11-07,DET,NYJ,7.0,10.0,20,23,-5.5,42.5,True,DET,3,False,0.0,0
2010_09_PIT_CIN,2010,9,2010-11-08,CIN,PIT,7.0,20.0,21,27,-5.0,41.5,True,CIN,13,False,0.0,0
2010_09_SD_HOU,2010,9,2010-11-07,HOU,LAC,20.0,14.0,23,29,-3.0,50.0,False,LAC,6,True,3.0,1
2010_09_TB_ATL,2010,9,2010-11-07,ATL,TB,17.0,14.0,27,21,10.0,44.5,False,TB,3,False,0.0,0
2010_10_BAL_ATL,2010,10,2010-11-11,ATL,BAL,10.0,0.0,26,21,1.0,43.5,False,BAL,10,False,0.0,0
2010_10_CAR_TB,2010,10,2010-11-14,TB,CAR,21.0,10.0,31,16,7.0,36.5,False,CAR,11,False,0.0,0
2010_10_CIN_IND,2010,10,2010-11-14,IND,CIN,20.0,10.0,23,17,6.5,47.0,False,CIN,10,False,0.0,0
2010_10_DAL_NYG,2010,10,2010-11-14,NYG,DAL,6.0,19.0,20,33,11.5,46.0,True,NYG,13,True,11.5,0
2010_10_DET_BUF,2010,10,2010-11-14,BUF,DET,7.0,3.0,14,12,1.5,45.0,False,DET,4,False,0.0,0
